nodeId,Date
9203201,1992-02-24
9203202,1992-03-08
9203203,1992-03-03
9203204,1992-03-09
9203205,1992-03-09
9203206,1992-03-09
9203207,1992-03-10
9203208,1992-03-10
9203209,1992-03-11
9203210,1992-03-15
9203211,1992-03-16
9203212,1992-03-16
9203213,1992-03-17
9203214,1992-03-16
9203215,1992-03-18
9203216,1992-03-18
9203217,1992-03-18
9203218,1992-03-19
9203219,1992-03-24
9203220,1992-03-26
9203221,1992-03-26
9203222,1992-03-27
9203223,1992-03-29
9203224,1992-03-30
9203225,1992-03-30
9203226,1992-03-31
119203001,1992-04-08
119203060,1992-03-21
9204201,1992-04-01
9204202,1992-04-01
9204203,1992-04-01
9204204,1992-04-02
9204205,1992-04-02
9204206,1992-04-02
9204207,1992-04-02
9204208,1992-04-05
9204209,1992-04-06
9204210,1992-04-06
9204211,1992-04-06
9204212,1992-04-07
9204213,1992-04-07
9204214,1992-04-07
9204215,1992-04-08
9204216,1992-04-10
9204217,1992-04-13
9204218,1992-04-13
9204219,1992-04-13
9204220,1992-04-13
9204221,1992-04-13
9204222,1992-04-14
9204223,1992-04-16
9204224,1992-04-21
9204225,1992-04-22
9204226,1992-04-22
9204227,1992-04-22
9204228,1992-04-22
9204229,1992-04-22
9204230,1992-04-22
9204231,1992-04-23
9204232,1992-04-23
9204233,1992-04-23
9204234,1992-04-27
9204235,1992-04-28
9204236,1992-04-29
9204237,1992-04-29
9204238,1992-04-29
9204239,1992-04-30
119204017,1992-04-29
9205201,1992-05-04
9205202,1992-05-04
9205203,1992-05-04
9205204,1992-05-04
9205205,1992-05-05
9205206,1992-05-06
9205207,1992-05-06
9205208,1992-05-07
9205209,1992-05-08
9205210,1992-05-08
9205211,1992-05-08
9205212,1992-05-08
9205213,1992-05-08
9205214,1992-05-09
9205215,1992-05-12
9205216,1992-05-11
9205217,1992-05-12
9205218,1992-05-13
9205219,1992-05-13
9205220,1992-05-13
9205221,1992-05-14
9205222,1992-05-15
9205223,1992-05-18
9205224,1992-05-19
9205225,1992-05-20
9205226,1992-05-20
9205227,1992-05-20
9205228,1992-05-21
9205229,1992-05-22
9205230,1992-05-22
9205231,1992-05-24
9205232,1992-05-25
9205233,1992-05-26
9205234,1992-05-26
9205235,1992-05-26
9205236,1992-05-26
9205237,1992-05-26
9205238,1992-05-27
9205239,1992-05-27
9205240,1992-05-27
9205241,1992-05-27
9205242,1992-05-28
9205243,1992-05-28
9205244,1992-05-29
9205245,1992-05-29
9205246,1992-05-29
9205247,1992-05-29
119205006,1992-05-07
119205018,1992-05-22
119205020,1992-05-25
119205029,1992-05-12
119205060,1992-05-18
9206201,1992-06-01
9206202,1992-06-01
9206203,1992-06-01
9206204,1992-06-02
9206205,1992-06-03
9206206,1992-06-03
9206207,1992-06-03
9206208,1992-06-04
9206209,1992-06-04
9206210,1992-06-04
9206211,1992-06-04
9206212,1992-06-05
9206213,1992-06-08
9206214,1992-06-10
9206215,1992-06-11
9206216,1992-06-11
9206217,1992-06-11
9206218,1992-06-11
9206219,1992-06-12
9206220,1992-06-12
9206221,1992-06-15
9206222,1992-06-15
9206223,1992-06-15
9206224,1992-06-16
9206225,1992-06-16
9206226,1992-06-16
9206227,1992-06-17
9206228,1992-06-17
9206229,1992-06-17
9206230,1992-06-17
9206231,1992-06-17
9206232,1992-06-18
9206233,1992-06-18
9206234,1992-06-18
9206235,1992-06-19
9206236,1992-06-19
9206237,1992-06-19
9206238,1992-06-19
9206239,1992-06-21
9206240,1992-06-22
9206241,1992-06-22
9206242,1992-06-22
9206243,1992-06-22
9206244,1992-06-23
9206245,1992-06-23
9206246,1992-06-23
9206247,1992-06-23
9206248,1992-06-25
9206249,1992-06-25
9206250,1992-06-25
9206251,1992-06-25
9206252,1992-06-26
9206253,1992-06-25
9206254,1992-06-26
9206255,1992-06-26
9206256,1992-06-26
9206257,1992-06-26
9206258,1992-06-26
9206259,1992-06-28
9206260,1992-06-29
9206261,1992-06-29
9206262,1992-06-29
9206263,1992-06-29
9206264,1992-06-30
9206265,1992-06-30
